title,n_enrolled,course_type,institution,Level,subject,language,subtitles,course_effort,course_length,price_numeric
¡Conceptos básicos de Python para Data Science!,0,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Español,Español,2–5 hours per week,5 Weeks,49.0
Herramientas para el Análisis de Big Data,8118,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Data Analysis & Statistics,Español,Español,3–5 hours per week,4 Weeks,49.0
Foundations of Central Bank Law,6169,Self-paced on your time,The International Monetary Fund,Intermediate,Law,English,English,2–6 hours per week,6 Weeks,25.0
C Programming: Modular Programming and Memory Management,18690,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Introductory,Computer Science,English,English,2–4 hours per week,7 Weeks,49.0
Enseñanza temprana de matemáticas y ciencias,8250,Self-paced on your time,Inter-American Development Bank,Introductory,Education & Teacher Training,Español,Español,1–2 hours per week,10 Weeks,25.0
Entrepreneurship 102: What can you do for your customer?,11275,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,English,2–4 hours per week,10 Weeks,49.0
Italian Language and Culture: Advanced (2019-2020),24667,Self-paced on your time,Wellesley College,Advanced,Language,Italiano,Italiano,3–5 hours per week,12 Weeks,49.0
Introduction to Marketing,0,Self-paced on your time,The University of Edinburgh,Introductory,Business & Management,English,English,2–3 hours per week,6 Weeks,149.0
Origins of the Human Mind,11812,Self-paced on your time,Kyoto University,Introductory,Science,English,English,2–3 hours per week,5 Weeks,49.0
Introduction to Geometry,61824,Self-paced on your time,SchoolYourself,Introductory,Math,English,English,4–6 hours per week,14 Weeks,50.0
The Future of Work: Preparing for Disruption,43125,Self-paced on your time,World Bank Group,Introductory,Economics & Finance,English,"اللغة العربية, English, Español, Français, Русский, 中文",3–5 hours per week,5 Weeks,5.0
Clinical Reasoning Process,5367,Self-paced on your time,Université de Montréal,Introductory,Medicine,English,English,2–4 hours per week,6 Weeks,149.0
Datos para la efectividad de las políticas públicas,80425,Self-paced on your time,Inter-American Development Bank,Introductory,Data Analysis & Statistics,Español,Español,4–5 hours per week,10 Weeks,25.0
Media Law,7253,Instructor-led on a course schedule,New York University,Introductory,Art & Culture,English,English,8–10 hours per week,14 Weeks,249.0
Líderes para la Gestión en Seguridad Ciudadana y Justicia,12826,Self-paced on your time,Inter-American Development Bank,Intermediate,Social Sciences,Español,Español,4–5 hours per week,10 Weeks,25.0
"Diseña, fabrica y programa tu propio robot",25024,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Engineering,Español,Español,8–10 hours per week,6 Weeks,75.0
Pivoting to Online Teaching: Research and Practitioner Perspectives,5289,Self-paced on your time,University of Texas at Arlington,Introductory,Education & Teacher Training,English,English,3–5 hours per week,6 Weeks,139.0
Circular Economy: An Interdisciplinary Approach,10281,Self-paced on your time,Wageningen University & Research,Advanced,Business & Management,English,English,16–24 hours per week,6 Weeks,149.0
Calculus 1B: Integration,44669,Instructor-led on a course schedule,Massachusetts Institute of Technology,Intermediate,Math,English,English,6–10 hours per week,15 Weeks,100.0
Algorithmic Design and Techniques,40620,Self-paced on your time,"The University of California, San Diego",Intermediate,Computer Science,English,English,8–10 hours per week,6 Weeks,99.0
Drinking Water Treatment,51918,Self-paced on your time,Delft University of Technology,Intermediate,Engineering,English,English,6–8 hours per week,7 Weeks,50.0
Fundamentos de información financiera y contable,7789,Self-paced on your time,Universidades Anáhuac,Intermediate,Economics & Finance,Español,Español,5–7 hours per week,5 Weeks,49.0
Les principes de la finance,44037,Self-paced on your time,Université catholique de Louvain,Intermediate,Business & Management,Français,Français,4–7 hours per week,13 Weeks,150.0
Music Technology Foundations,34550,Self-paced on your time,University of Adelaide,Introductory,Computer Science,English,English,2–3 hours per week,6 Weeks,169.0
The Entrepreneurial Mindset,31077,Self-paced on your time,Babson College,Introductory,Business & Management,English,English,4–6 hours per week,6 Weeks,149.0
"Anatomy: Gastrointestinal, Reproductive and Endocrine Systems",26453,Self-paced on your time,The University of Michigan,Introductory,Biology & Life Sciences,English,English,2–3 hours per week,5 Weeks,49.0
Risk Management and Credit Principles,9028,Self-paced on your time,NYIF,Advanced,Economics & Finance,English,English,2–3 hours per week,6 Weeks,199.0
Steps in Japanese for Beginners1 Part3,6169,Self-paced on your time,Waseda University,Introductory,Language,English,English,3–5 hours per week,5 Weeks,99.0
Structural Materials: Selection and Economics,9752,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Engineering,English,English,2–3 hours per week,3 Weeks,50.0
Algorithm Design and Analysis,39137,Self-paced on your time,University of Pennsylvania,Intermediate,Computer Science,English,English,6–8 hours per week,4 Weeks,149.0
Estructuras de Datos con Python,0,Self-paced on your time,The University of Michigan,Introductory,Computer Science,Español,Español,2–4 hours per week,7 Weeks,49.0
Mandarin Chinese for Business,12384,Self-paced on your time,MandarinX,Intermediate,Language,English,English,4–10 hours per week,6 Weeks,149.0
Bases Matemáticas: Números y terminología,26060,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Math,Español,Español,3–4 hours per week,4 Weeks,50.0
Arab-Islamic History: From Tribes to Empires,17321,Self-paced on your time,IsraelX-Tel Aviv University,Introductory,Humanities,English,English,3–4 hours per week,8 Weeks,149.0
Human-Computer Interaction I: Fundamentals & Design Principles,9010,Self-paced on your time,The Georgia Institute of Technology,Introductory,Computer Science,English,English,5–6 hours per week,6 Weeks,99.0
Modeling and simulation of multibody systems,0,Instructor-led on a course schedule,Université catholique de Louvain,Intermediate,Engineering,English,English,10–11 hours per week,14 Weeks,50.0
The Science of Parenting,37538,Self-paced on your time,"The University of California, San Diego",Introductory,Social Sciences,English,English,3–5 hours per week,5 Weeks,49.0
Inclusive Teaching: Supporting All Students in the College Classroom,9899,Self-paced on your time,Columbia University,Introductory,Education & Teacher Training,English,English,2–3 hours per week,6 Weeks,49.0
Analytics for Decision Making,31031,Self-paced on your time,Babson College,Introductory,Business & Management,English,English,4–6 hours per week,4 Weeks,249.0
Principios de Análisis e Instrumentos Financieros,0,Self-paced on your time,Universidades Anáhuac,Intermediate,Economics & Finance,Español,Español,5–7 hours per week,5 Weeks,49.0
Energy Principles and Renewable Energy,19520,Instructor-led on a course schedule,The University of Queensland,Advanced,Energy & Earth Sciences,English,English,10–12 hours per week,14 Weeks,375.0
DNA: Biology’s Genetic Code,35162,Self-paced on your time,Rice University,Intermediate,Biology & Life Sciences,English,English,4–6 hours per week,6 Weeks,169.0
Music For Wellness,19728,Self-paced on your time,Berklee College of Music,Introductory,Humanities,English,English,3–5 hours per week,4 Weeks,49.0
Mining Massive Datasets,5311,Self-paced on your time,Stanford University,Advanced,Computer Science,English,English,5–10 hours per week,7 Weeks,149.0
Introduction to Electrical and Electronic Engineering - 電気電子工学入門 -,25041,Self-paced on your time,Tokyo Institute of Technology,Introductory,Engineering,English,"English, 日本語",2–3 hours per week,4 Weeks,50.0
A travel by Spanish America: Spanish for beginners,0,Self-paced on your time,Universidad del Rosario,Introductory,Language,Español,Español,4–6 hours per week,4 Weeks,49.0
Introducción a la Inteligencia Artificial,11184,Self-paced on your time,Universidades Anáhuac,Introductory,Computer Science,Español,Español,4–5 hours per week,4 Weeks,49.0
Introducción a la Inteligencia Artificial: Principales Algoritmos,0,Self-paced on your time,Universidad Galileo,Introductory,Computer Science,Español,Español,4–5 hours per week,4 Weeks,49.0
Digital Security and Human Rights,11443,Self-paced on your time,Amnesty International,Introductory,Social Sciences,English,English,1–2 hours per week,3 Weeks,49.0
Critical thinking: reasoned decision making,6923,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,English,English,5–8 hours per week,4 Weeks,149.0
Introduction to the Internet of Things,7581,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Electronics,English,English,5–6 hours per week,6 Weeks,50.0
Trading - Fundamentals of Technical Analysis,0,Self-paced on your time,NYIF,Introductory,Economics & Finance,English,English,2–3 hours per week,6 Weeks,199.0
Riñones: conoce sus funciones para mejorar tu salud y calidad de vida,20261,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Medicine,Español,Español,3–5 hours per week,6 Weeks,49.0
Design Thinking: Empathizing to Understand the Problem,13340,Self-paced on your time,Rochester Institute of Technology,Intermediate,Business & Management,English,English,8–12 hours per week,6 Weeks,299.0
Storytelling in the Workplace,0,Self-paced on your time,Rochester Institute of Technology,Introductory,Communication,English,English,4–6 hours per week,3 Weeks,199.0
Marketing Analytics: Price and Promotion Analytics,41021,Self-paced on your time,"University of California, Berkeley",Intermediate,Computer Science,English,English,5–7 hours per week,4 Weeks,249.0
Implementation of Data Structures,27761,Self-paced on your time,IITBombay,Intermediate,Computer Science,English,English,6–8 hours per week,6 Weeks,149.0
Activism and Citizen Journalism through Media,7460,Self-paced on your time,Wits University,Introductory,Communication,English,English,2–3 hours per week,4 Weeks,49.0
Electric and Conventional Vehicles,22089,Instructor-led on a course schedule,Chalmers University of Technology,Advanced,Engineering,English,English,10–20 hours per week,6 Weeks,249.0
Big Data Fundamentals,40106,Self-paced on your time,University of Adelaide,Intermediate,Computer Science,English,English,8–10 hours per week,10 Weeks,199.0
Sustainable Food Security: The value of systems thinking,26600,Self-paced on your time,Wageningen University & Research,Introductory,Biology & Life Sciences,English,English,8–10 hours per week,6 Weeks,49.0
Knowledge Management and Big Data in Business,69064,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Business & Management,English,English,6–8 hours per week,8 Weeks,50.0
Uso efectivo del tiempo,6409,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Economics & Finance,Español,Español,6–8 hours per week,6 Weeks,49.0
C Programming: Pointers and Memory Management,19171,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Introductory,Computer Science,English,English,2–4 hours per week,7 Weeks,49.0
Astrophysics: The Violent Universe,65711,Self-paced on your time,Australian National University,Intermediate,Physics,English,English,2–4 hours per week,10 Weeks,50.0
Landscape Ecology,8644,Self-paced on your time,ETH Zurich,Intermediate,Environmental Studies,English,English,2–4 hours per week,14 Weeks,50.0
IoT Programming and Big Data,21591,Self-paced on your time,Curtin University,Introductory,Computer Science,English,English,4–6 hours per week,5 Weeks,199.0
AWS: Getting Started with Cloud Security,8192,Self-paced on your time,Amazon Web Services,Introductory,Computer Science,English,English,2–4 hours per week,4 Weeks,49.0
Introducción a la gravedad cuántica de lazos,7360,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Science,Español,"English, Español",5–7 hours per week,5 Weeks,50.0
Introduction to the Music Business,46607,Self-paced on your time,Berklee College of Music,Introductory,Business & Management,English,English,2–4 hours per week,6 Weeks,49.0
Introducción a la programación en C: Tipos de datos y estructuras,13480,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Computer Science,Español,Español,2–4 hours per week,4 Weeks,49.0
Visualización de Datos y Storytelling,5980,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Data Analysis & Statistics,Español,Español,3–5 hours per week,4 Weeks,49.0
Negociación exitosa: Estrategias y habilidades esenciales (en español),0,Self-paced on your time,The University of Michigan,Introductory,Business & Management,Español,Español,2–4 hours per week,7 Weeks,49.0
"Feeding a Hungry Planet: Agriculture, Nutrition and Sustainability",10488,Self-paced on your time,SDG Academy,Intermediate,Environmental Studies,English,"English, Русский",3–5 hours per week,7 Weeks,49.0
Macroeconomics - The Basics,0,Self-paced on your time,Doane University,Introductory,Economics & Finance,English,English,10–18 hours per week,8 Weeks,79.0
Fundamentals of Financial Mathematics and Capital Budgeting,5410,Self-paced on your time,NYIF,Introductory,Economics & Finance,English,English,1–2 hours per week,4 Weeks,99.0
Gestión participativa: motivación y liderazgo organizacional,23441,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Business & Management,Español,Español,3–4 hours per week,8 Weeks,79.0
Herramientas de ciencia de datos: uso práctico,0,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Español,Español,3–7 hours per week,7 Weeks,39.0
Bienestar para el desarrollo personal y profesional,0,Self-paced on your time,Universidades Anáhuac,Intermediate,Health & Safety,Español,"English, Español",5–7 hours per week,5 Weeks,29.0
Energía eléctrica: conceptos y principios básicos,9762,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Engineering,Español,Español,4–5 hours per week,7 Weeks,49.0
Market Segmentation Analysis,17055,Self-paced on your time,The University of Queensland,Intermediate,Business & Management,English,English,6–8 hours per week,5 Weeks,99.0
Pensamento crítico: tomada de decisões fundamentadas,0,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Português,Português,5–8 hours per week,4 Weeks,149.0
AP® English Literature & Composition – Part 2: Poems,5719,Self-paced on your time,"University of California, Berkeley",Introductory,Humanities,English,English,4–5 hours per week,7 Weeks,49.0
"Electrical, Optical & Magnetic Materials and Devices",16905,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Engineering,English,English,8–12 hours per week,16 Weeks,150.0
Advanced Cardiac Imaging: Cardiac Computed Tomography (CT),0,Self-paced on your time,University of Hong Kong,Introductory,Medicine,English,"English, Français, 中文, 中文",2–3 hours per week,4 Weeks,99.0
How to Design a Successful Business Model,33656,Self-paced on your time,Delft University of Technology,Introductory,Business & Management,English,"Deutsch, English, Español, Français",2–4 hours per week,8 Weeks,99.0
Ecodesign for Cities and Suburbs,28472,Self-paced on your time,University of British Columbia,Introductory,Environmental Studies,English,,4–5 hours per week,6 Weeks,99.0
Agile Software Development,37158,Self-paced on your time,ETH Zurich,Introductory,Computer Science,English,English,2–3 hours per week,6 Weeks,50.0
Diseño de sistemas de información gerencial para intranet con Microsoft Access,9144,Self-paced on your time,Universidad del Rosario,Intermediate,Computer Science,Español,Español,6–10 hours per week,4 Weeks,49.0
Essentials of Program Strategy and Evaluation,0,Self-paced on your time,Stanford University,Introductory,Philanthropy,English,English,5–10 hours per week,4 Weeks,50.0
Gestão de Projetos de Desenvolvimento,28337,Self-paced on your time,Inter-American Development Bank,Introductory,Business & Management,Português,Português,3–4 hours per week,10 Weeks,49.0
Innovation: From Plan to Product,12918,Self-paced on your time,The University of Queensland,Intermediate,Business & Management,English,English,8–10 hours per week,10 Weeks,249.0
Introduction to Database Queries,0,Self-paced on your time,New York University,Introductory,Computer Science,English,English,6–8 hours per week,5 Weeks,166.0
Climate Change: Carbon Capture and Storage,10551,Self-paced on your time,The University of Edinburgh,Introductory,Engineering,English,English,2–3 hours per week,5 Weeks,49.0
Reservoir Geomechanics,5280,Self-paced on your time,Stanford University,Introductory,Energy & Earth Sciences,English,English,3–6 hours per week,10 Weeks,129.0
Fundamentos de administración estratégica,0,Self-paced on your time,Universidades Anáhuac,Intermediate,Business & Management,Español,Español,5–7 hours per week,5 Weeks,49.0
IoT System Architecture: Design and Evaluation,5914,Self-paced on your time,Waseda University,Introductory,Computer Science,English,English,3–5 hours per week,3 Weeks,99.0
Noongar Language and Culture,10858,Self-paced on your time,Curtin University,Introductory,Language,English,English,2–3 hours per week,6 Weeks,139.0
Sorting Truth From Fiction: Civic Online Reasoning,0,Instructor-led on a course schedule,Massachusetts Institute of Technology,Introductory,Education & Teacher Training,English,English,2–4 hours per week,4 Weeks,49.0
Sustainable Food Security: Food Access,18943,Self-paced on your time,Wageningen University & Research,Introductory,Social Sciences,English,English,6–8 hours per week,6 Weeks,49.0
Bases Matemáticas: Integrales,23703,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Math,Español,Español,4–5 hours per week,5 Weeks,50.0
Epidemics II,8565,Self-paced on your time,University of Hong Kong,Introductory,Medicine,English,"English, 中文, 中文",2–3 hours per week,3 Weeks,139.0
Derechos humanos: Los derechos de las personas refugiadas,28398,Self-paced on your time,Amnesty International,Introductory,Humanities,Español,Español,3–5 hours per week,3 Weeks,49.0
Sign Language Science: Factors Contributing to Natural Learning,0,Self-paced on your time,Georgetown University,Introductory,Language,English,English,3–5 hours per week,4 Weeks,99.0
Big Data Analytics,43009,Self-paced on your time,University of Adelaide,Intermediate,Computer Science,English,English,8–10 hours per week,10 Weeks,199.0
"A-level Mathematics for Year 13 - Course 1: Functions, Sequences and Series, and Numerical Methods",6594,Self-paced on your time,Imperial College London,Intermediate,Math,English,English,2–4 hours per week,7 Weeks,49.0
ODS en la Agenda 2030 de las Naciones Unidas: Retos de los Objetivos de Desarrollo Sostenible,16028,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Social Sciences,Español,"English, Español",3–4 hours per week,6 Weeks,25.0
Achieving Product-Market Fit,0,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Introductory,Business & Management,English,English,2–3 hours per week,4 Weeks,199.0
Culture and Law: The East Asian Perspective,0,Self-paced on your time,Waseda University,Introductory,Social Sciences,English,English,4–6 hours per week,3 Weeks,49.0
Fundamentals of Market Structure,32049,Self-paced on your time,NYIF,Introductory,Economics & Finance,English,English,1–2 hours per week,1 Weeks,25.0
Protecting Children in Humanitarian Settings,7246,Self-paced on your time,Columbia University,Intermediate,Social Sciences,English,English,3–5 hours per week,12 Weeks,50.0
How to Achieve the Sustainable Development Goals,12719,Self-paced on your time,SDG Academy,Intermediate,Environmental Studies,English,"English, Русский",4–6 hours per week,7 Weeks,49.0
Aprendizaje y Enseñanza en la Era Digital,16954,Self-paced on your time,Universidad Galileo,Intermediate,Education & Teacher Training,Español,Español,4–5 hours per week,4 Weeks,49.0
From Atoms to Stars: How Physics Explains Our World,15914,Self-paced on your time,National Research Nuclear University,Intermediate,Physics,English,"English, Русский",2–3 hours per week,4 Weeks,49.0
The Threat of Nuclear Terrorism,0,Self-paced on your time,Stanford University,Introductory,History,English,English,1–5 hours per week,5 Weeks,50.0
Introducción a Matemáticas para Finanzas y Negocios,0,Self-paced on your time,Tecnológico de Monterrey,Advanced,Economics & Finance,Español,Español,5–8 hours per week,5 Weeks,49.99
Ingeniería de aeropuertos: diseño del lado aire según OACI (ICAO),0,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Engineering,Español,Español,4–5 hours per week,7 Weeks,75.0
Liderazgo inclusivo,0,Self-paced on your time,Universidad Carlos III de Madrid,Intermediate,Business & Management,Español,Español,3–5 hours per week,5 Weeks,29.0
مساق اللّغة العربيّة,0,Self-paced on your time,United Arab Emirates University,Introductory,Language,اللغة العربية,اللغة العربية,3–4 hours per week,8 Weeks,49.0
"Architecture, Algorithms, and Protocols of a Quantum Computer and Quantum Internet",8330,Self-paced on your time,Delft University of Technology,Intermediate,Physics,English,English,6–8 hours per week,6 Weeks,79.0
Contemporary Issues in World Politics,11426,Self-paced on your time,Università degli Studi di Napoli Federico II,Introductory,Social Sciences,English,English,4–6 hours per week,7 Weeks,59.0
More Fun with Prime Numbers,10604,Self-paced on your time,Kyoto University,Intermediate,Math,English,English,1–2 hours per week,5 Weeks,49.0
Enterprise Selling,5020,Self-paced on your time,Queen’s University,Introductory,Business & Management,English,English,4–6 hours per week,6 Weeks,149.0
Climate Change: Financial Risks and Opportunities,9977,Self-paced on your time,Imperial College Business School-Imperial College London,Intermediate,Economics & Finance,English,English,2–10 hours per week,4 Weeks,79.0
Caer o No caer. El Secreto de las Estructuras.,20939,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Engineering,Español,Español,2–3 hours per week,8 Weeks,29.0
Mandarin Chinese Level 2,8784,Self-paced on your time,MandarinX,Introductory,Language,English,English,4–10 hours per week,6 Weeks,149.0
Design Thinking: Prototyping and User Testing,10769,Self-paced on your time,Rochester Institute of Technology,Intermediate,Business & Management,English,English,8–12 hours per week,6 Weeks,299.0
Bases Matemáticas: Derivadas,24301,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Math,Español,Español,3–4 hours per week,5 Weeks,50.0
Buscar en Internet,27320,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,Español,3–4 hours per week,7 Weeks,49.0
Big Data and Education,14909,Self-paced on your time,University of Pennsylvania,Advanced,Data Analysis & Statistics,English,English,6–12 hours per week,8 Weeks,169.0
Model-Based Automotive Systems Engineering,13857,Instructor-led on a course schedule,Chalmers University of Technology,Advanced,Engineering,English,English,10–20 hours per week,7 Weeks,249.0
Introduction to Hyperledger Blockchain Technologies,138884,Self-paced on your time,The Linux Foundation,Introductory,Business & Management,English,English,3–4 hours per week,14 Weeks,199.0
MathTrackX: Integral Calculus,0,Self-paced on your time,University of Adelaide,Introductory,Math,English,English,3–6 hours per week,4 Weeks,79.0
Solar Energy Engineering: Comprehensive Exams,0,Self-paced on your time,Delft University of Technology,Advanced,Engineering,English,English,4–6 hours per week,8 Weeks,250.0
Mercados de capital y participantes claves,7210,Self-paced on your time,NYIF,Introductory,Economics & Finance,Español,Español,1–2 hours per week,2 Weeks,49.0
Introducción al desarrollo de videojuegos con Unity,27474,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Computer Science,Español,Español,3–4 hours per week,6 Weeks,50.0
Incorporating Renewable Energy in Electricity Grids,10430,Self-paced on your time,Imperial College London,Intermediate,Energy & Earth Sciences,English,English,2–5 hours per week,6 Weeks,49.0
Herramientas de la Inteligencia de Negocios,24130,Self-paced on your time,Universidad Galileo,Introductory,Data Analysis & Statistics,Español,Español,5–6 hours per week,5 Weeks,49.0
Overview & Management of Parkinson’s Disease,0,Self-paced on your time,Salisbury University-University System of Maryland,Intermediate,Medicine,English,English,2–3 hours per week,5 Weeks,49.0
Conociendo los costos,0,Self-paced on your time,Universidades Anáhuac,Intermediate,Economics & Finance,Español,Español,5–7 hours per week,5 Weeks,49.0
Sprint Planning for Faster Agile Team Delivery,10654,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Engineering,English,English,2–3 hours per week,4 Weeks,199.0
Introduction to Water and Climate,36320,Self-paced on your time,Delft University of Technology,Intermediate,Engineering,English,English,6–8 hours per week,10 Weeks,50.0
The Medieval Icelandic Sagas,11176,Self-paced on your time,The University of Iceland,Intermediate,Humanities,English,English,2–3 hours per week,6 Weeks,50.0
Visual Presentation,0,Self-paced on your time,Rochester Institute of Technology,Introductory,Communication,English,English,4–6 hours per week,3 Weeks,199.0
Community Engagement: Collaborating for Change,11818,Self-paced on your time,The University of Michigan,Introductory,Social Sciences,English,English,2–4 hours per week,6 Weeks,49.0
Introducción al Internet de las Cosas (IoT),6322,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Electronics,Español,Español,5–6 hours per week,6 Weeks,50.0
"Proteins: Alignment, Analysis and Structure",23560,Instructor-led on a course schedule,University System of Maryland-University of Maryland Global Campus,Advanced,Biology & Life Sciences,English,English,8–10 hours per week,8 Weeks,249.0
AI Applications with Watson,9173,Self-paced on your time,IBM,Intermediate,Computer Science,English,English,2–4 hours per week,3 Weeks,99.0
Data Analytics and Visualization in Health Care,7304,Self-paced on your time,Rochester Institute of Technology,Advanced,Data Analysis & Statistics,English,English,8–10 hours per week,8 Weeks,249.0
Question Everything: Scientific Thinking in Real Life,34279,Self-paced on your time,The University of Queensland,Introductory,Math,English,English,2–4 hours per week,8 Weeks,59.0
Introduction to Lifestyle Medicine,9002,Self-paced on your time,Doane University,Introductory,Biology & Life Sciences,English,English,5–10 hours per week,8 Weeks,79.0
"Social Work Practice with Individuals, Families, and Small Groups",16134,Self-paced on your time,The University of Michigan,Advanced,Social Sciences,English,English,8–10 hours per week,8 Weeks,199.0
Gateway to Medicine: An Introduction to the Field of Medicine|走近医学,6938,Self-paced on your time,Tsinghua University,Introductory,Medicine,中文,"English, 中文",1–3 hours per week,10 Weeks,49.0
Indian & Tibetan River of Buddhism,6738,Self-paced on your time,Columbia University,Intermediate,Humanities,English,English,2–4 hours per week,12 Weeks,49.99
Compostaje Orgánico en Casa,0,Instructor-led on a course schedule,Universidad Nacional de Córdoba,Introductory,Environmental Studies,Español,Español,4–5 hours per week,5 Weeks,29.0
Financial Analysis for Decision Making,39156,Self-paced on your time,Babson College,Introductory,Business & Management,English,English,4–6 hours per week,4 Weeks,199.0
Lifestyle Medicine Treatments of Chronic Disease – Part 1,5668,Self-paced on your time,Doane University,Intermediate,Medicine,English,English,10–15 hours per week,2 Weeks,179.0
Building Containerized Applications on AWS,6128,Self-paced on your time,Amazon Web Services,Intermediate,Computer Science,English,English,2–4 hours per week,5 Weeks,99.0
Effective Communication for Program and Project Stakeholders and Teams,0,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Introductory,Business & Management,English,English,3–5 hours per week,5 Weeks,199.0
Biobased Products for a Sustainable (Bio)economy,6951,Self-paced on your time,DelftXRWTHx-Delft University of Technology-RWTH Aachen University,Introductory,Biology & Life Sciences,English,English,5–6 hours per week,10 Weeks,50.0
Social Work Practice: Advocating Social Justice and Change,19603,Self-paced on your time,The University of Michigan,Introductory,Social Sciences,English,English,2–3 hours per week,5 Weeks,49.0
Anthropology of Current World Issues,44821,Instructor-led on a course schedule,The University of Queensland,Introductory,Humanities,English,English,2–4 hours per week,9 Weeks,99.0
Buyer Behaviour and Analysis,19717,Instructor-led on a course schedule,Curtin University,Advanced,Communication,English,English,8–10 hours per week,12 Weeks,199.0
Idea Development: Create and Implement Innovative Ideas,11501,Self-paced on your time,The University of Queensland,Intermediate,Business & Management,English,English,8–10 hours per week,10 Weeks,249.0
Analysis of Transport Phenomena I: Mathematical Methods,9169,Instructor-led on a course schedule,Massachusetts Institute of Technology,Advanced,Engineering,English,English,10–12 hours per week,17 Weeks,149.0
Leading the Organization,14998,Self-paced on your time,The University of Queensland,Intermediate,Business & Management,English,English,8–10 hours per week,10 Weeks,249.0
"Financial Programming and Policies, Part 2: Program Design",19330,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,English,6–8 hours per week,7 Weeks,25.0
Introduction to Open Source Networking Technologies,17436,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,English,English,3–4 hours per week,14 Weeks,169.0
Deep Learning Essentials,5018,Self-paced on your time,Université de Montréal,Intermediate,Computer Science,English,English,4–6 hours per week,5 Weeks,149.0
Estadística Aplicada a los Negocios,25295,Self-paced on your time,Universidad Galileo,Introductory,Data Analysis & Statistics,Español,Español,5–6 hours per week,5 Weeks,49.0
"English for Journalists, Part 2",22814,Self-paced on your time,"University of California, Berkeley",Intermediate,Communication,English,English,3–4 hours per week,5 Weeks,49.0
Teaching & Learning in the Diverse Classroom,7104,Instructor-led on a course schedule,Cornell University,Introductory,Education & Teacher Training,English,English,2–4 hours per week,5 Weeks,99.0
Fundamentals of Microeconomics | Fundamentos de Microeconomía,18456,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Social Sciences,English,"English, Español",2–3 hours per week,7 Weeks,129.0
Migrating to the AWS Cloud,0,Self-paced on your time,Amazon Web Services,Intermediate,Computer Science,English,English,2–4 hours per week,4 Weeks,49.0
IoT Networks and Protocols,22136,Self-paced on your time,Curtin University,Introductory,Computer Science,English,English,4–6 hours per week,5 Weeks,199.0
"American Prophet: The Inner Life and Global Vision of Martin Luther King, Jr.",0,Self-paced on your time,Stanford University,Introductory,History,English,English,2–4 hours per week,11 Weeks,50.0
China’s First Empires and the Rise of Buddhism,46053,Self-paced on your time,Harvard University,Introductory,History,English,"English, 中文",1–3 hours per week,15 Weeks,139.0
Apnea y Trastornos del Sueño,14902,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Health & Safety,Español,Español,9–10 hours per week,10 Weeks,49.0
Educación sobre el cambio climático,23253,Self-paced on your time,Inter-American Development Bank,Introductory,Education & Teacher Training,Español,Español,4–5 hours per week,10 Weeks,25.0
Quantum Mechanics: A First Course,0,Instructor-led on a course schedule,Massachusetts Institute of Technology,Advanced,Physics,English,English,10–15 hours per week,18 Weeks,149.0
Urban Sewage Treatment,40408,Self-paced on your time,Delft University of Technology,Intermediate,Engineering,English,English,6–8 hours per week,7 Weeks,50.0
Doing Gender and Why it Matters,6826,Self-paced on your time,University of Hong Kong,Introductory,Social Sciences,English,English,1–2 hours per week,6 Weeks,99.0
