title,n_enrolled,course_type,institution,Level,subject,language,subtitles,course_effort,course_length,price_numeric
American Government: Constitutional Foundations,35504,Self-paced on your time,Harvard University,Introductory,Social Sciences,English,English,2–4 hours per week,4 Weeks,49.0
Introducción a la inversión bursátil,64261,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Economics & Finance,Español,Español,3–4 hours per week,2 Weeks,50.0
Japanese Books: From Manuscript to Print,17581,Self-paced on your time,Harvard University,Introductory,Art & Culture,English,English,1–2 hours per week,9 Weeks,100.0
Foundations of Modern Finance  I,24108,Instructor-led on a course schedule,Massachusetts Institute of Technology,Advanced,Economics & Finance,English,English,10–14 hours per week,12 Weeks,450.0
Operations Management,126093,Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,English,"English, हिन्दी",2–4 hours per week,7 Weeks,150.0
Marketing Management,80010,Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,English,"English, हिन्दी",2–4 hours per week,9 Weeks,150.0
Marketing enfocado en la estrategia de servicios,24618,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Business & Management,Español,"English, Español",5–7 hours per week,6 Weeks,119.0
Introduction to Marketing,169126,Self-paced on your time,University of British Columbia,Introductory,Business & Management,English,English,3–5 hours per week,6 Weeks,150.0
Programming Basics,215059,Self-paced on your time,IITBombay,Introductory,Computer Science,English,English,6–8 hours per week,9 Weeks,149.0
Probability and Statistics in Data Science using Python,106286,Self-paced on your time,"The University of California, San Diego",Advanced,Data Analysis & Statistics,English,English,10–12 hours per week,10 Weeks,350.0
HTML5 Coding Essentials and Best Practices,241287,Self-paced on your time,The World Wide Web Consortium (W3C),Intermediate,Computer Science,English,English,6–8 hours per week,6 Weeks,199.0
First Nights - Beethoven's 9th Symphony and the 19th Century Orchestra,37426,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,3–5 hours per week,3 Weeks,49.0
Cell Biology: Mitochondria,64142,Self-paced on your time,Harvard University,Introductory,Biology & Life Sciences,English,English,2–4 hours per week,4 Weeks,99.0
"Algorithms: Design and Analysis, Part 1",20163,Self-paced on your time,Stanford University,Intermediate,Computer Science,English,English,2–4 hours per week,6 Weeks,149.0
